Creator,Frequency,translation_count,earliest_year,latest_year,frequency_categories,Years,Titles
Julius Caesar,2,207,1731.0,1739.0,0-14,"[1731.0, 1739.0]","['C. Julii Cæsaris quæ exstant, interpretatione & notis illustravit Joannes Godvinus ... in usum Delphini. Juxta editionem parisiensem.', 'C. Julii Cæsaris quæ extant, accuratissime cum libris editis et MSS optimis collata, recognita & correcta. Accesserunt annotationes Samuelis Clarke, S.T.P. Item indices locorum, rerumque & verborum, utilissimæ.']"
Plato,5,206,1771.0,1961.0,0-14,"[1771.0, 1926.0, 1961.0, 1923.0, 1880.0]","['Platōnos dialogoi 3. = Platonis dialogi III. Quibus præfiguntur Olympiodori vita Platonis et Albini in dialogos Platonis introductio. Opera et studio Guil. Etwall, ...', 'Symposium or supper /', 'Parmenides, Theaitetos, Sophist, Statesman /', 'The Republic of Plato /', 'A literal translation of the Meno of Plato: a dialogue on the nature and origin of virtue. Prepared from the text of Baiter and Orelli, and arranged for interleaving, if desired with the second edition, Stutgard, 1878.']"
Charles Darwin,3,196,1889.0,1906.0,0-14,"[1889.0, 1906.0, 1890.0]","['The structure and distribution of coral reefs.', 'The voyage of a naturalist round the world in H.M.S. ""Beagle."".', 'The descent of man, and selection in relation to sex /']"
Pablo Picasso,2,196,1980.0,2000.0,0-14,"[1980.0, 2000.0]","['Picasso lithographs 61 works', 'Picasso : la monographie 1881-1973 /']"
Book,2,196,1872.0,1947.0,0-14,"[1947.0, 1872.0]","['A first book of nursery rhymes /', 'The book of mediaeval alphabets.']"
George Washington,3,195,1783.0,1870.0,0-14,"[1809.0, 1870.0, 1783.0]","['Vie de Georges Washington [microform] : général en chef des armées des États-Unis pendant la guerre qui a établi leur indépendance et premier président des États-Unis /', ""Washington's words to intending English emigrants to America /"", 'A circular letter from His Excellency General Washington, to the several states, called his legacy, being his last public communication.']"
Pennsylvania,2,189,1762.0,1786.0,0-14,"[1786.0, 1762.0]","['Laws enacted in the first sitting of the tenth General Assembly of the Commonwealth of Pennsylvania, which commenced at Philadelphia, on Monday the twenty-fourth day of October, in the year of our Lord one thousand seven hundred and eighty-five.', 'The charters and acts of Assembly of the province of Pennsylvania. In two volumes. Vol. I [-II]. ...']"
Connecticut,2,185,1750.0,1796.0,0-14,"[1750.0, 1796.0]","[""Acts and laws passed by the General Court or Assembly of His Majesty's English colony of Connecticut in New-England in America: begun, and held at New Haven, on the second Thursday of October, in the twenty-fourth year of the reign of our Sovereign Lord George the Second, of Great-Britain, &c. King. Annoque Domini, 1750."", 'Acts and laws, made and passed in and by the General Court or Assembly of the state of Connecticut, in America, holden at Hartford (in said state) on the second Thursday of May, Anno Domini, 1796.']"
Dante Alighieri,3,184,1887.0,1904.0,0-14,"[1893.0, 1887.0, 1904.0]","['La vita nuova /', 'Il convito. The banquet /', 'The Purgatorio and Paradiso of the Divina Commedia /']"
Homer,8,183,1728.0,1990.0,0-14,"[1951.0, 1908.0, 1990.0, 1728.0, 1747.0, 1862.0, 1940.0, 1790.0]","['The Iliad of Homer /', 'Stories from the iliad /', 'The Odyssey /', 'Homērou Ilias, = Homeri Ilias: id est, de rebus ad Trojam gestis.', 'Hē tou Homērou Ilias. Homeri Ilias. Interpretatio Latina adjecta est, ex editione S. Clarke. ...', 'Gradus ad Homerum: or the A.B.C.D. of Homer. Being a heteroclite translation of the first four books of the Iliad into English heroics, with notes /', 'The odyssey of Homer /', 'Homeri Ilias, Græce et Latine. Annotationes in usum serenissimi principis Gulielmi Augusti, ducis de Cumberland, &c. regio jussu scripsit atque edidit Samuel Clarke, S.T.P. ...']"
Poem,2,182,1828.0,1876.0,0-14,"[1828.0, 1876.0]","['A poem on the last judgment, etc.', 'An international poem, in three parts ... with two short prose essays, etc.']"
Johann Wolfgang von Goethe,4,182,1866.0,1963.0,0-14,"[1963.0, 1893.0, 1888.0, 1866.0]","['Hermann und Dorothea', 'Faust. First part /', 'Faust: a tragedy [part I] /', 'Minor poems /']"
North Atlantic Treaty Organization,3,181,1973.0,1992.0,0-14,"[1981.0, 1992.0, 1973.0]","['NATO after thirty years', 'Narrow gap semiconductors : proceedings of the NATO Workshop Oslo, Norway, 25-27 June 1991 /', 'Numerical solution of partial differential equations']"
Martin Luther,12,178,1522.0,1786.0,0-14,"[1539.0, 1566.0, 1527.0, 1526.0, 1522.0, 1786.0, 1535.0, 1538.0, 1565.0, 1550.0, 1557.0, 1523.0]","['Von den Concilijs vnd Kirchen.', 'Betbüchlin mit dem Calender vnd [und] Passional /', 'In Genesin, Mosi Librvm [librum] Sanctissimvm [sanctissimum], D. Martini  Lutheri Declamationes : Praeterea Index, paucis opusculi totius summam continens.', 'M. Luth. in Ionam prophe. commentariolus /', 'Vom Eelichen Leben. Martinus Luther. Da zů dz er auch ytzt newlich gemacht hat, welche person verpottē syen zů eelichē früntschafft vnd mogschafft halb. Leui. 18.', 'A commentary upon the Epistle of Paul the Apostle to the Galatians. ... By Mr. Martin Luther. To which is prefixed, an account of the life of the author.', 'Bjblia Das ist, die gantze heilige Schrifft Deudsch /', 'Artickel so da hetten sollen auffs Concilion zu Mantua, oder wo es würde sein vberantwortet werden von vnsers teils wegen, vnd was wir annemen oder geben kündten oder nicht, etc.', 'Ein[n] newe Betbüchlin, des seligen vnd tewren Gottes Doctoris Martini  Lutheri : aus seinen eigen Geisttrost vnd Lebendigen worten vnd Tomis gezogen ...', 'Die Heubtartikel des Christlichen Glaubens : Wider den Bapbst, vnd der  Hellen pforten zu erhalten ; Sampt dem Bekentnis des glaubens, D. Mart. Luth. Vnd  andern seer nützlichen Büchlin ... / D. Mart. Luth.', 'Die Heuptartikel des Christlichen Glaubens, Wider den Bapst, vnd [und] der  Hellen pforten zu erhalten /', 'Ain Sermon von dem Gleyssner vn[d] [und] Offenbarn sünder : Luce am  xviij. /']"
Man,2,176,1804.0,1852.0,0-14,"[1804.0, 1852.0]","['The man in the moon. Consisting of essays and critiques on the politics, morals, manners, drama, &c. of the present day.', 'The old man who lived in a wood; an old story, illustrated, etc.']"
Unesco,24,174,1948.0,2011.0,15-29,"[1969.0, 1981.0, 1983.0, 1984.0, 1981.0, 1976.0, 1967.0, 1986.0, 1973.0, 2011.0, 1972.0, 1988.0, 1977.0, 1991.0, 2000.0, 1993.0, 1979.0, 1991.0, 1996.0, 1969.0, 1996.0, 1948.0, 1993.0, 1987.0]","[""Catalogue général des publications de l'Unesco et des publications parues sous les auspices de l'Unesco. General catalogue of Unesco publications and Unesco-sponsored publications"", 'Islam, philosophy and science four public lectures organized by Unesco June 1980', 'Simon Bolivar : the hope of the universe : introduction, selection, biographical notes and chronology /', ""Bibliography of publications on Unesco = Bibliographie des publications sur l'Unesco."", ""Ouvrages sur la paix et les droits de l'homme"", 'The role of physical education and sport in the education of youth : in the context of life-long education.', 'A guide to the operation of the agreement for facilitating the international circulation of visual and auditory materials of an educational, scientific and cultural character', 'Unesco handbook for biology teachers in Africa', 'National commissions for Unesco.', 'World heritage sites.', 'Art education : an international survey.', 'Legal implications of the production of machine-readable records by public administrations : a RAMP study /', 'Towards lifelong education : a new role for higher education institutions /', 'Address at the seminar on literacy and citizenship : Brasilia, 3-5 May 1991 /', 'The silk roads : highways of culture and commerce /', 'Exchange processes at the land surface for a range of space and time scales : proceedings of an international symposium held at Yokohama, Japan, 13-16 July 1993 : the symposium was jointly organized by the International Association of Hydrological Sciences (IAHS)and the International Association of Meteorology and Atmospheric Physics (IAMAP) and co-sponsored by the United Nations Educational, Scientific and Cultural Organization (UNESCO) /', 'National councils for book development /', 'Address to the seminar ""Galileo Ritrovato"", Fondazione CINI, Venice, 13 September 1991 /', 'Biomass conversion and technology /', 'The Unesco courier.', 'The prisoner : a novel /', 'Human rights: comments and interpretations /', 'Families : celebration and hope in a world of change /', 'Superstrings, unified theories and cosmology : proceedings of the Summer Workshop in High Energy Physics and Cosmology, Trieste, Italy, 30 June-15 August 1986 /']"
Sigmund Freud,2,174,1913.0,1930.0,0-14,"[1913.0, 1930.0]","['The interpretation of dreams /', 'Civilization and its discontents /']"
Hans Christian Andersen,5,172,1863.0,1992.0,0-14,"[1992.0, 1908.0, 1900.0, 1863.0, 1925.0]","[""That land I saw : Hans Christian Andersen's sketches during his travels in Italy, 1833-34 /"", ""Hans Andersen's fairy tales /"", 'Sagor af H.C. Andersen /', 'The ice-maiden /', 'Tales from Hans Christian Andersen and the Brothers Grimm, etc.']"
Miguel de Cervantes Saavedra,4,172,1757.0,1979.0,0-14,"[1961.0, 1979.0, 1757.0, 1903.0]","['The ingenious gentleman, Don Quixote de la Mancha /', 'Don Quijote de la Mancha /', ""The history of the renowned Don Quixote de la Mancha. ... by Miguel de Cervantes Saavedra. Translated by several hands: and published by the late Mr. Motteux. Revis'd a-new ... by Mr. Ozell: ..."", 'Sancho Panza: governor of Baratria /']"
Children,2,172,1846.0,1868.0,0-14,"[1868.0, 1846.0]","[""The children's hour series."", ""Children's trials. [With illustrations.]""]"
Victor Hugo,4,171,1828.0,1985.0,0-14,"[1895.0, 1828.0, 1985.0, 1888.0]","['Bug-Jargal /', 'Poésies de Victor Hugo.', 'Le grand imagier Victor Hugo', 'Han of Iceland /']"
Marco Polo,2,171,1954.0,1971.0,0-14,"[1971.0, 1954.0]","['The travels of Marco Polo', 'Opisanie Świata. Z oryginału starofrancuskiego z uwzglednieniem redakcji starowłoskich i lacińskich /']"
World Health Organization,31,170,1957.0,2011.0,30-44,"[1986.0, 1997.0, 1979.0, 1972.0, 2009.0, 1990.0, 1988.0, 1975.0, 1987.0, 1995.0, 1999.0, 2001.0, 1997.0, 1999.0, 1999.0, 1997.0, 1991.0, 1996.0, 1983.0, 1957.0, 1978.0, 1999.0, 1999.0, 2009.0, 2006.0, 1999.0, 1987.0, 2011.0, 2009.0, 2001.0, 1985.0]","['Acrylonitrile health and safety guide /', 'Dengue haemorrhagic fever : diagnosis, treatment, prevention and control.', 'Schizophrenia an international follow-up study', 'Yellow-fever vaccinating centres for international travel = Centres de vaccination contre la fièvre jaune pour les voyages internationaux situation as on 7 April 1972 = situation au 7 avril 1972', 'Salmonella and campylobacter in chicken meat : meeting report.', 'The New emergency health kit : lists of drugs and medical supplies for a population of 10,000 persons for approximatey 3 months.', 'The world drug situation.', 'A multi-axial classification of child psychiatric disorders an evaluation of a proposal', 'Epichlorohydrin health and safety guide /', 'The world health report : report of the Director-General.', 'Delegates applaud public health solidarity in South Balkans /', 'Violence : an enormous but preventable global health problem /', 'Control and elimination of major tropical diseases possible but greater commitment needed, World Health Assembly says /', 'Moscow office opened, New York and Addis Ababa offices strengthened /', 'WHO, IOM to strengthen collaboration on migration and health issues /', 'The World Health Assembly adopts a resolution on the sale of medical products through the internet /', 'Methyl isobutyl ketone health and safety guide.', 'Laboratory diagnosis of group A streptococcal infections /', 'Specifications for identity and purity of buffering agents, salts, emulsifiers, stabilizers, thickening agents, extraction solvents, flavouring agents, sweetening agents and miscellaneous food additives', 'Report.', 'Competency-based curriculum development in medical education an introduction', 'The 52nd World Health Assembly elects its officials /', 'Revamped WHO bulletin launched /', 'Calcium and magnesium in drinking-water : public health significance.', 'Preventative chemotherapy in human helminthiasis : coordinated use of antihelminthic drugs in control interventions : a manual for health professionals and programme managers.', 'Fifth global conference on health promotion announced /', 'Tetradifon health and safety guide /', 'Global status report on noncommunicable diseases 2010.', 'TB impact measurement : policy and recommendations for how to assess the epidemiological burden of TB and the impact of TB control.', 'WHO clarifies its position on health effects of mobile phone use /', 'Guidelines for drinking-water quality.']"
Rene Descartes,4,170,1650.0,2007.0,0-14,"[1650.0, 1960.0, 1724.0, 2007.0]","['Renati Des-Cartes Musicae Compendium.', 'Discourse on method, and other writings /', 'Discours de la methode pour bien conduire sa raison et chercher la verité dans les sciences. Plus La dioptrique, Les meteores, La mechanique, & La musique; qui sont des essais de cette méthode.', 'The correspondence between Princess Elisabeth of Bohemia and René Descartes /']"
Fyodor Dostoyevsky,2,170,1930.0,1973.0,0-14,"[1973.0, 1930.0]","['Crime & punishment : a novel in six parts and an epilogue /', 'The letters of Dostoyevsky [Dostoieffsky] to his wife /']"
Immanuel Kant,4,170,1796.0,1907.0,0-14,"[1878.0, 1907.0, 1800.0, 1796.0]","['Kritik der Urteilskraft /', 'Fundamental principles of the metaphysic of ethics /', 'Metaphysische Anfangsgründe der Naturwissenschaft.', 'Zum ewigen Frieden. Ein philosophischer Entwurf.']"
John Kennedy,2,167,1911.0,1963.0,0-14,"[1911.0, 1963.0]","['Common sense and singing.', 'The ministers vocation, etc.']"
John Fitzgerald Kennedy,2,167,1960.0,1964.0,0-14,"[1964.0, 1960.0]","['Profiles in courage.', 'Profiles in courage. (The stories of the pressures experienced by eight United States senators.) [With portraits and a bibliography.]']"
Winston Churchill,2,167,1973.0,1991.0,0-14,"[1973.0, 1991.0]","['The river war', 'A history of the English-speaking peoples /']"
Virgil,9,167,1575.0,1957.0,0-14,"[1724.0, 1957.0, 1926.0, 1952.0, 1910.0, 1575.0, 1956.0, 1749.0, 1741.0]","['P. Virgilii Maronis opera Nunc emendatiora.', ""Virgil's Aeneid /"", 'Codicis Vergiliani qui Augusteus Appellatur Reliquiae quam simillime expressae. Ad Vergili natalem MM celebrandum qui erit Id.Oct.A. MDCCCCXXX Bibliotheca Vaticana contulit /', 'The Aeneid /', 'Aeneid II, 268-385 /', 'Laelij Capilupi Cento Vergilianus, de vita monachorum, quos vulgò Fratres appellant.', ""Virgil's Georgics /"", 'Pub. Virgilii Maronis Bucolicorum eclogae decem The Bucolicks of Virgil, with an English translation and notes. By John Martyn, ...', 'Antiquissimi Virgiliani codicis fragmenta et picturae ex bibliotheca Vaticana ad priscas imaginum formas a Pet. Sancte Bartholi incisae.']"
Catholic Church,8,167,1725.0,1977.0,0-14,"[1870.0, 1807.0, 1976.0, 1725.0, 1725.0, 1977.0, 1906.0, 1962.0]","['Die viii. Decembris. In festo Immaculatae Conceptionis Beatae Mariae Virginis.', ""Rituel à l'usage du diocèse d'Autun, ..."", 'Confirmation, the rite', 'The evening-office of the Church in Latin and English. Containing the Vespers, or Even-song for all Sundays and festivals of obligation', 'The evening-office of the church in Latin and English. Containing the vespers, or even-song for all Sundays and festivals of obligation.', 'Evening prayers for the Feast of the Sacred Heart', 'The Roman Missal for the use of the laity : including all the feasts contained in the typical edition recently approved of by the Sacred Congregation of Rites ; with supplement for Ireland, England, Scotland, America, Australia, and other English-speaking countries.', 'Ordo recitandi officii divini sacrique peragendi in Archidioecesi Liverpolitana : iussu excellentissimi et reverendissimi Archiepiscopi.']"
Voltaire,16,166,1738.0,1978.0,15-29,"[1773.0, 1741.0, 1744.0, 1823.0, 1786.0, 1769.0, 1978.0, 1765.0, 1790.0, 1738.0, 1780.0, 1766.0, 1779.0, 1768.0, 1780.0, 1788.0]","[""Fragments sur l'Inde, sur le General Lalli, et sur le Comte de Morangiés."", 'Elémens de la philosophie de Neuton. Contenant la métaphysique, la théorie de la lumiere, & celle du monde. Par Mr. de Voltaire.', 'Lettre au roi de Prusse par Mons. Voltaire de Paris.', 'The character of the Christian mysteries, in a dialogue between a Church of England missionary preacher and a Chinese mandarin ... / ', 'The ears of Lord Chesterfield and Parson Goodman Translated from the French of M. Voltaire, by J. Knight.', ""L'evangile du jour ..."", 'Romans et contes /', ""L' A, B, C, dialogue curieux Traduit de l'Anglais de Monsieur Huet."", ""La Henriade de Voltaire, avec les variantes. Imprimé par ordre du roi pour l'education de Monseigneur le dauphin,"", 'Elémens de la philosophie de Neuton, donnés par Mr de Voltaire.', ""La pucelle d'Orléans, po{diaer}eme en vingt-un chants, avec des notes, auquel on a joint plusieurs pièces qui y ont rapport. ..."", 'Lettres de M. de Voltaire a ses amis du Parnasse. Avec des notes historiques et critiques.', ""Dialogues d'Evhémére Publiés par M. de Voltaire."", 'La défense de mon oncle', 'Philosophical, literary, and historical pieces, viz. Elements of the Newtonian philosophy Letter concerning Roger Bacon ... Life of Moliere, &c. Translated from the last edition of M. de Voltaire. By W. S. Kenrick.', 'Théatre Complet de M. de Voltaire, conforme à la dernière édition.']"
Franz Kafka,2,164,1983.0,1993.0,0-14,"[1983.0, 1993.0]","['Der Verschollene /', 'The trial /']"
Walt Disney,2,161,1973.0,1996.0,0-14,"[1973.0, 1996.0]","['Walt Disney nursery rhymes', ""Mickey's Toontown tunes.""]"
Friedrich Wilhelm Nietzsche,2,161,1901.0,1910.0,0-14,"[1901.0, 1910.0]","['Thus spake Zarathustra ... /', 'The case against Wagner /']"
Anton Pavlovich Chekhov,2,159,1914.0,1920.0,0-14,"[1914.0, 1920.0]","['Stories of Russian life /', 'Letters of Anton Tchehov to his family and friends. [Selected letters, with an abridged version of the life of Chekhov by his brother Mihail, and with a portrait] /']"
Aleksandr Sergeevich Pushkin,3,159,1958.0,1968.0,0-14,"[1958.0, 1968.0, 1965.0]","['Pesnʹ o Veshchem Olege /', 'Sobranie sochineniĭ /', ""Notes on prosody from the commentary to his translation of Pushkin's Eugene Onegin.""]"
Rabindranath Tagore,3,158,1931.0,2003.0,0-14,"[2003.0, 1950.0, 1931.0]","['He /', 'Crisis in civilization /', 'The child. [Poem.]']"
Charles Dickens,17,157,1836.0,2011.0,15-29,"[2011.0, 1922.0, 1836.0, 1890.0, 1857.0, 1992.0, 1903.0, 1925.0, 1926.0, 2006.0, 1872.0, 1993.0, 1906.0, 1988.0, 1923.0, 1909.0, 1870.0]","['The haunting /', ""A child's history of England."", 'Sunday under three heads. As it is; as Sabbath bills would make it; as it might be made. /', 'The lazy tour of two idle apprentices. No thoroughfare. The perils of certain English prisoners /', 'Little Dorrit.', 'Hard times /', 'Christmas books.', 'The mystery of Edwin Drood and pictures from Italy.', 'The lamplighter. A farce in one act and as a short story /', 'Oliver twist /', ""Doom's day camp. The extra Christmas number of all the year round /"", 'Charles Dickens : [an illustrated anthology].', 'Hunted down.', 'Christmas books /', 'Christmas stories /', 'Great expectations.', 'Catalogue of the beautiful collection of modern pictures, water-colour drawings and objects of art of Charles Dickens ... which ... will be sold by auction by Messrs. Christie, Manson & Woods ... July 9, 1870, etc.']"
Moliere,5,154,1718.0,1979.0,0-14,"[1956.0, 1880.0, 1718.0, 1937.0, 1979.0]","['Six prose comedies of Molière /', 'Le bourgeois gentilhomme. Comédie ballet /', ""The non-juror. A comedy. As it is acted at the Theatre-Royal, by His Majesty's servants. Writien [sic] by Mr. Cibber"", ""The plays of Moliere. (Les Précieuses Ridicules. - L'Ecole des Femmes. - Tartuffe. - Le Misanthrope. - Le Médecin malgré lui. - L'Avare) /"", 'Der Menschenfeind']"
Adam Smith,3,154,1779.0,1976.0,0-14,"[1976.0, 1941.0, 1779.0]","['An inquiry into the nature and causes of the wealth of nations', 'Teoría de los sentimientos morales /', 'The Psalms of David in metre : As they are used in the Kirk of Scotland.']"
Microsoft Corporation,3,153,1995.0,2002.0,0-14,"[1995.0, 2002.0, 1999.0]","['The Windows interface guidelines for software design.', 'Security operations for Microsoft Exchange 2000 server : patterns & practices.', 'Business to business electronic commerce : breakfast seminar - growing your business online, 11 May 1999, London.']"
