author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
George Fox,"['Fox, George,1624-1691.', 'Fox, George,-1661.', 'Fox, George,1624-1691.']","['Silent meeting : a vvonder to the vvorld; yet practised by the Apostles, and owned by the people of God, scornfully called Quakers..', ""A noble salutation and a faithful greeting unto thee Charles Stuart, who art now proclaimed King of England, Scotland, France and Ireland. From the councel and nobility of the royal seed, the lion of the tribe of Judah, the everlasting king of righteousness, who reigneth in George Fox the younger. A copie of this was delivered in writing by Richard Hubberthorn, into the King's hand at Whitehall, the 4th day of the 4th month, 1660. And this may be of service to any of those called Royalists (or others) if they in moderation will read it, and for that cause it is upon me to send it abroad in print."", 'Principia quÆdam illius electi a Deo populi, ironice nominati Quakers. Ut omnes per totum Christianismum legant, & animadvertant suas ipsorum conditiones. Exhibita per Georgium Fox.']","[1671.0, 1660.0, 1662.0]","['[London : s.n.],', 'London : printed for Giles Calvert at the Black-spread Eagle, at the West-end of Pauls,', 'Londini : pro Roberto Wilson,']","['eng', 'eng', 'lat']","['Society of Friends', 'Charles, II, King of England, 1630-1685.', 'Quakers']","['ESTC', 'ESTC', 'Microfilm.']",1660.0,1671.0,3,left_only
Lodowick Muggleton,"['Muggleton, Lodowick,1609-1698.aut', 'Muggleton, Lodowick,1609-1698.']","[""Joyful news from heaven: or, the last intelligence from our glorify'd Jesus above the stars. ... Written by John Reeve and Lodowick Muggleton, ..."", 'A true interpretation of all the chief texts, and mysterious sayings and visions opened, of the whole book of the Revelation of St. John. : Whereby is unfolded, and plainly declared those wonderful deep mysteries and visions interpreted, concerning the true God, the alpha and omega; with variety of other heavenly secrets, which hath never been opened, nor revealed to any man since the creation of the world to this day, until now. /']","[1752.0, 1665.0]","['[London,', '[London] : Printed in the year of our Lord, 1665. for the author Lodowick Muggleton, in Great Trinity-Lane London, near the sign of the Lyon and Lamb,']","['eng', 'eng']","[nan, 'Bible.']","['ESTC', 'ESTC']",1665.0,1752.0,2,left_only
John Evelyn,"['Evelyn, John,1620-1706.', 'Evelyn, John,1620-1706.']","['Sculptura; or, the history and art of chalcography, and engraving in copper: with an ample enumeration of the most renowned masters and their works. To which is annexed, a new manner of engraving, or mezzotinto, communicated by His Highness Prince Rupert to the author of this treatise, John Evelyn, Esq;', ""An idea of the perfection of painting: : demonstrated from the principles of art, and by examples conformable to the observations, which Pliny and Quintilian have made upon the most celebrated pieces of the antient painters, parallel'd with some works of the most famous modern painters, Leonardo da Vinci, Raphael, Julio Romano, and N. Poussin. /""]","[1769.0, 1668.0]","['London : printed for J. Murray, (successor to Mr. Sandby),', '[London] : In the Savoy: printed for Henry Herringman at the sign of the Anchor in the lower-walk of the New-Exchange,']","['eng', 'eng']","[nan, 'Painting']","['ESTC', 'ESTC']",1668.0,1769.0,2,left_only
Jeremiah Rich,"['Rich, Jeremiah,-1660?']","['The book of the New Testament of our Lord and Saviour Jesus Christ, according to the art of short writing invented by Ieremiah Rich.']",[1673.0],"['London : printed and are sold by Samuel Botley teacher of ye said art over against Vintners Hall in Thames street and no where els,']",['eng'],['Miniature books'],['ESTC'],1673.0,1673.0,1,left_only
Matthieu de Larroque,"['Larroque, Matthieu de,1619-1684.']",['Observationes in Ignatianas Pearsonii Vindicias : Et in annotationes Beveregii in canones Sanctorum Apostolorum.'],[1674.0],"['Rothomagi, apud Ioannem Lucas, ...']",['lat'],"['Ignatius, Saint, Bishop of Antioch, -approximately 110.']",['Anonymous author : Matthieu de Larroque'],1674.0,1674.0,1,left_only
Anthony a. Wood,"['Wood, Anthony à,1632-1695.Historia et antiquitates universitatis Oxoniensis.', 'Wood, Anthony à,1632-1695.']","['Notitia Oxoniensis AcademiÆ.', 'The lives of those eminent antiquaries John Leland, Thomas Hearne, and Anthony à Wood; : with an authentick account of their respective writings and publications, from original papers. In which are occasionally inserted, memoirs relating to many eminent persons, and various parts of literature. Also, several engravings of antiquity, never before published. In two volumes ... .']","[1675.0, 1772.0]","['Londini : typis T. R[oycroft]. Impensis Ric. Davis,', 'Oxford: : Printed at the Clarendon Press, for J. and J. Fletcher, in the Turl, and Joseph Pote, at Eton College.,']","['lat', 'eng']","['University of Oxford', 'Authors, English']","['ESTC', 'ESTC']",1675.0,1772.0,2,left_only
Richard Baxter,"['Baxter, Richard,1615-1691.', 'Baxter, Richard,1615-1691.', 'Baxter, Richard,1615-1691.', 'Baxter, Richard,1615-1691.', 'Baxter, Richard,1615-1691.']","['Converse with God in solitude: or, the Christian improving the insufficiency and uncertainty of human friendship for conversing with God in secret. Written by ... Richard Baxter. Abridged by Benjamin Fawcett.', 'The judgment of non-conformists, of the interest of reason, in matters of religion· In which it is proved against make-bates, that both conformists, and non-conformists, and all parties of true Protestants are herein really agreed, though unskilful speakers differ in words.', ""Richard Baxters answer to Dr Edward Stillingfleet's charge of separation: : containing, I. Some queries necessary for the understanding of his accusation. II. A reply to his letter which denyeth a solution. III. An answer to his printed sermon. Humbly tendred, I. To himself; II. To the Right Honourable the Lord Mayor and the Court of Aldermen, III. To the readers of his accusation: the forum where we are accused.."", 'The saints everlasting rest: or, A treatise of the blessed state of the saints in their enjoyment of God in glory. Wherein is shewed its excellency and certainty; the misery of those that lose it; the way to attain it, assurance of it; and how to live in the continual delightful fore-tasts of it, by the help of meditation. Written by the author for his own use, in the time of his languishing, when God took him off from all publick employment, and afterwards preached in his weekly lecture /', 'The causes and danger of slighting Christ and his gospel: or, eternal salvation made light of by multitudes, to whom it is freely offered. Written by ... Richard Baxter. Abridged by Benjamin Fawcett.']","[1761.0, 1676.0, 1680.0, 1688.0, 1763.0]","['Salop : printed by J. Cotton, and J. Eddowes; and sold by J. Buckland; T. Field; and E. Dilly, London,', 'London : [s.n.],', ""London, : Printed for Nevil Simmons, at the Three Cocks at the West-end of S. Paul's, and Thomas Simmons at the Prince's Arms in Ludgate-street,,"", ""London : printed for Thomas Parkhurst, at the Bible and Three Crown [sic] in Cheapside: Ric. Chiswell, at the Rose and Crown in St. Paul's Church-yard: and Dorman Newman, at the King's Arms in the Poultrey,"", 'Salop : printed by J. Cotton, and J. Eddowes; and sold by J. Buckland; T. Field; and E. Dilly, London,']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'Dissenters, Religious', 'Dissenters, Religious', 'Future life', nan]","['ESTC', 'ESTC', 'Wing (2nd ed., 1994)', 'ESTC', 'ESTC']",1676.0,1763.0,5,left_only
John Northleigh,"['Northleigh, John,1657-1705.']","['A gentle reflection on the modest account, and a vindication of the loyal abhorrers, from the calumnies of a factious pen. By the author of the Parallel.']",[1682.0],"[""London : printed for Benj. Tooke at the Ship in St. Paul's Church-yard, and Tho. Sawbridge at the Three Flower-de-Luces in Little-Britain,""]",['eng'],['Person of quality.'],['ESTC'],1682.0,1682.0,1,left_only
JohnPoet Barclay,"['Barclay, John,Poet, Author of the Argenis.']","['Satyrikon, of heekel-schrift ... /']",[1683.0],"[""t'Amsterdam : By Jan ten Hoorn,""]",['dut'],[nan],"['With an additional, engraved titlepage.']",1683.0,1683.0,1,left_only
Samuel Johnson,"['Johnson, Samuel,1709-1784.', 'Johnson, Samuel,1691-1773.', 'Johnson, Samuel,1709-1784.', 'Johnson, Samuel,1709-1784.', 'Johnson, Samuel,1709-1784.', 'Johnson, Samuel,1649-1703.', 'Johnson, Samuel,1709-1784.', 'Johnson, Samuel,1696-1772.', 'Johnson, Samuel,1709-1784.', 'Johnson, Samuel,1709-1784.']","['The seasons, and castle of indolence /', 'Hurlothrumbo: or: the super-natural. As it is acted at the New-Theatre in the Hay-Market, Written by Mr. Samuel Johnson, of Cheshire.', 'The Seasons, with a poem to the memory of Sir Isaac Newton /', ""Miscellaneous observations on the tragedy of Macbeth: with remarks on Sir T. H.'s edition of Shakespear. To which is affix'd, Proposals for a new edition of Shakeshear [sic], with a specimen."", 'A sermon, written by the late Samuel Johnson, L.L.D. for the funeral of his wife Published by the Rev. Samuel Hayes, ...', ""Remarks upon Dr. Sherlock's book, intituled, The case of the allegiance due to soveraign princes, stated and resolved, &c.."", 'The rambler. In three volumes. ...', 'An English and Hebrew grammar, being the first short rudiments of those two languages, taught together. To which is added, a synopsis of all the parts of learning. The second edition, corrected and much amended by Samuel Johnson, D.D.', 'Rasselas, Prince of Abissinia a tale', 'The journal of a tour to the Hebrides, with Samuel Johnson, L.L.D. /']","[1837.0, 1729.0, 1822.0, 1745.0, 1788.0, 1691.0, 1781.0, 1771.0, 1898.0, 1810.0]","['London,', '[Dublin] : London: printed for the author and, Dublin: re-printed by James Hoey, and George Faulkner,', 'Kilmarnock : Printed by and for R. Mathie,', 'London : printed for E. Cave, and sold by J. Roberts,', 'London : printed for T. Cadell,', '[Edinburgh] : Printed at London, and re-printed in Edinburgh,,', 'Edinburgh printed for Alexander Donaldson. Sold at his shop, ... London ; and at Edinburgh.', 'London : printed for W. Faden,', 'Birmingham printed by the Vincent Press', ""[New York] published by Inskeep and Bradford, New York; and William M'Ilhenny, Boston.""]","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, 'Newton, Isaac, 1642-1727', nan, nan, 'Divine right of kings', nan, nan, nan, nan]","[nan, 'ESTC', nan, 'ESTC', 'ESTC', 'Aldis, H.G.  Scotland,', 'Anonymous author: Samuel Johnson', 'ESTC', nan, 'Includes: Advertisement of the American edition, p.vi-viii']",1691.0,1898.0,10,left_only
Charles Leslie,"['Leslie, Charles,1650-1722.', 'Leslie, Charles,1650-1722.']","['A short and easy method with the Deists; wherein the certainty of the Christian religion is demonstrated by infallible proof ... in a letter to a friend. With a letter from the author to a Deist upon his conversion by reading his book /', ""A discourse; shewing, who they are that are now qualify'd to administer baptism and the Lord's-Supper. : Wherein the cause of episcopacy is briefly treated. /""]","[1820.0, 1698.0]","['London,', ""London : printed for C. Brome at the Gun, at west-end of St. Paul's; W. Keblewhite at the Swan in St. Paul's Church-Yard; and H. Hindmarsh at the Golden-Ball over-against the Royal Exchange, Cornhill,""]","['eng', 'eng']","[nan, 'Sacraments']","[nan, 'ESTC']",1698.0,1820.0,2,left_only
Patrick Grant,"['Grant, Patrick,1941-', 'Grant, Patrick,active 17th century-18th century.']","['Six modern authors and problems of belief', 'The nonconformists vindication, or A testimony given against the indulged assembly of separatists: : wherein the false calumnies, and aspersions cast upon the suffering Presbyterians, are answered and confuted. Also the heads and causes of separation are opened and explained, together with an illustration of the Erastian state of the present church. /']","[1979.0, 1700.0]","['London Macmillan', '[Edinburgh? : s.n.],']","['eng', 'eng']","['English literature', 'Dissenters, Religious']","[nan, 'Wing (2nd ed.)']",1700.0,1979.0,2,left_only
Richard Sterne,"['Sterne, Richard,1596?-1683,attributed name.']","['The ladies calling in two parts. By the author of The whole duty of man, &c.']",[1700.0],"['[Oxford] : At the Theater in Oxford,']",['eng'],['Conduct of life'],['Microfilm.'],1700.0,1700.0,1,left_only
Johnagent for the regiment at FortWilliam Forbes,"['Forbes, John,agent for the regiment at Fort-William,active 1700.']","['Information for Lieutenant Collonel Forbes, and John Forbes writer in Edinburgh agent for the late regiment of Sir John Hill at Fort-William, against Allan Cathcart, Captain Menzies and Captain Hamiltoun..']",[1700.0],"['[Edinburgh : s.n.,']",['eng'],"['Hamilton, Thomas, Captain, active 1700']","['Aldis, H.G.  Scotland']",1700.0,1700.0,1,left_only
Charles Davenant,"['Davenant, Charles,1656-1714.']","['A postscript to a discourse of credit, and the means and methods of restoring it. Written by the author of the Essay of ways and means. And published in the first part of his Discourses on the publick revenues, ... 1697/8']",[1701.0],"['[London] : Printed in the year,']",['eng'],[nan],"['Hanson,']",1701.0,1701.0,1,left_only
Charles Gabriel Le Clerc,"['Le Clerc, Charles Gabriel,1644-1700?.', 'Le Clerc, Charles Gabriel,1644-1700?.']","[""The compleat surgeon: or, the whole art of surgery explain'd in a most familiar method. ... Written in French by M. Le Clerc, ... The third edition, enlarged by the author ; with the excellent method of preparing the brain, by ... M. Duncan. And with ... remarks, ... of ... M. Arnaud."", 'A description of bandages and dressings, according to the most commodious ways now used in France. Written in French by M. Le Clerc, ... Translated into English, with forty eight copper plates ...']","[1701.0, 1701.0]","['London : printed for W. Freeman, J. Walthoe, T. Goodwin, M. Wotton, and R. Parker,', 'London : printed for W. Freeman, J. Walthoe, T. Newborough, J. Nicholson and R. Parker,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1701.0,1701.0,2,left_only
Authors of Britannias Loss,"[""Authors of Britannia's Loss.""]","[""A poem on the late glorious success of His Grace the Duke of Ormond at Vigo. By the authors of Britannia's loss.""]",[1702.0],"['London : printed, and are to be sold by J. Nutt,']",['eng'],[nan],"['Foxon,']",1702.0,1702.0,1,left_only
George Bull,"['Bull, George,1634-1710.', 'Bull, George,1929-2001.']","['Harmonia apostolica, seu, binæ dissertationes, quarum in priore doctrina D. Jacobi de justificatione ex operibus explanatur ac defenditur: in posteriore consensus D. Pauli cum Jacobo liquidò demonstratur. Authore Georgio Bullo, ... Accessere in hac editione annotata quædam I. E. Grabe.', 'Artists of the Renaissance an illustrated selection /']","[1703.0, 1978.0]","['Londini : impensis Richardi Smith,', 'London Allen Lane']","['lat', 'eng']","[nan, 'Artists, Medieval']","['ESTC', 'Bibliography: p.318']",1703.0,1978.0,2,left_only
Francis Gastrell,"['Gastrell, Francis,1662-1725.', 'Gastrell, Francis,1662-1725.']","[""A sermon preach'd before the Honourable House of Commons, on Wednesday, Jan. 19th 1703/4. being the fast-day appointed for the imploring of a blessing from Almighty God ... as also for the humbling of our selves before him, in a deep sense of his heavy displeasure, shewed forth in the late dreadful tempest, &c. By Francis Gastrell, ..."", 'The Christian institutes; or, the sincere word of God. Being a plain and impartial account of the whole faith and duty of a Christian. Collected out of the writings of the Old and New Testament: ... By the Right Reverend Father in God, Francis late Lord Bishop of Chester.']","[1703.0, 1762.0]","['London : printed by T. W. for Thomas Bennet,', 'London : printed for B. Dod; J. Rivington; W. Johnston; J. Richardson; and B. Law,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1703.0,1762.0,2,left_only
