author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
A. Tindal Hart,"['Hart, A. Tindal.']","['William Lloyd, 1627-1717, bishop, politician, author and prophet /']",[1952.0],"['London, ']",['eng'],[nan],[nan],,,,left_only
A. Ugojoint author Fossa,"['Fossa, A. Ugo.joint author']","[""Biblioteca e cultura a Camaldoli dal Medioevo all'umanesimo""]",[1979.0],['Roma Editrice anselmiana'],['ita'],['Eremo di Camaldoli Biblioteca.'],['Bibliography: p. [xiii]-xxi'],,,,left_only
AbdulHaq AlAshanti,"['Al-Ashanti, AbdulHaq.']","[""The noble women scholars of Hadith : women's concern with the prophetic Hadith /""]",[2010.0],"['[London] : Jamiah Media,']",['eng'],['Women in the Hadith.'],['Includes bibliographical references.'],,,,left_only
Abdulrahim Y. Kalendar,"['Kalendar, Abdulrahim Y.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Natural Convective Heat Transfer from Horizontal and Near Horizontal Surfaces [electronic resource] /'],[nan],[nan],['eng'],['Thermodynamics.'],"['This book deals with a natural convective heat transfer situation of significant practical importance that has not been adequately dealt with in existing texts or widely available review papers: natural convective heat transfer from horizontal and near horizontal surfaces. The aim is to provide the reader with an understanding of past studies of natural convective heat transfer from horizontal surfaces and a more detailed review of contemporary studies. The more recent work deals with heat transfer from surfaces that have more complex shapes than previously considered, with heat transfer in situations in which laminar, transitional, and turbulent flow occur; in situations where the surface is inclined at a relatively small angle to the horizontal; and in situations where there is a covering surface above the heated surface. The authors further present methods for predicting heat transfer rates in all of the situations.']",,,,left_only
Abednego Seller,"['Seller, Abednego,1646?-1705.']","['The whole duty of a Christian. Containing all things necessary, ... for the obtaining a happy eternity. To which is added more particular directions how to prepare for a comfortable death. By the author of The devout communicant.']",[1719.0],"['London : printed for Samuel Chapman,']",['eng'],[nan],['ESTC'],,,,left_only
AberystwythCentre for Educational Studies University of Wales,"['University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.', 'University of Wales, Aberystwyth.Centre for Educational Studies.']","[""Henri helynt a'r llau /"", 'Mathemateg TGAU : y llyfr adolygu.', 'Ffuglen a ffaith /', 'Cyflwyniad i hanes yr Ewrop fodern : 1890-1990 /', 'Bôrd eto /', 'Trin data : gweithgareddau i ddysgu rhifedd.', 'Counting the cost : Wales and the world in the 1930s /', 'Dannedd! a dramâu eraill : i gyd-fynd â Taith iaith 1 /']","[2006.0, 2005.0, 2002.0, 2005.0, 2007.0, 2009.0, 2008.0, 2005.0]","['Aberystwyth : Y Ganolfan Astudiaethau Addysg,', '[Aberystwyth] : Canolfan Astudiaethau Addysg,', 'Aberystwyth : Y Ganolfan Astudiaethau Addysg,', 'Aberystwyth : Canolfan Astudiaethau Addysg,', 'Aberystwyth : Canolfan Astudiaethau Addysg,', 'Aberystwyth : Canolfan Astudiaethau Addysg,', 'Aberystwyth : CAA,', 'Aberystwyth : Canolfan Astudiaethau Addysg,']","['wel', 'wel', 'wel', 'wel', 'wel', 'wel', 'eng', 'wel']","[""Children's stories, Welsh."", 'Mathematics', 'Creative writing (Secondary education)', nan, 'Surfing', 'Mathematical statistics', 'World politics', ""Children's plays, Welsh.""]","['Addasiad Cymraeg gan = Welsh adaptation by : Elin Meek.', 'Yn cynnwys mynegai = Includes index.', nan, 'Yn cynnwys mynegai = Includes index.', nan, '""50+ o weithgareddau a gwersi i\'w llungopïo"" - ar y clawr = on cover.', nan, nan]",,,,left_only
Abraham Blinderman,"['Blinderman, Abraham,1916-']",['American writers on education after 1865'],[1976.0],['Boston Twayne Publishers'],['eng'],['Educators'],['Bibliography: p. 263-271'],,,,left_only
Abraham Taylor,"['Taylor, Abraham,active 1727-1740.', 'Taylor, Abraham,active 1727-1740.']","['A letter to the author of An enquiry into the causes of the decay of the dissenting interest. Containing an apology for some of his inconsistencies; with a plea for the dissenters, and the liberty of the people. To which is added, a short epistle to the reverend Mr. Gough, ...', 'The true scripture doctrine of the holy and ever-blessed Trinity, stated and defended, in opposition to the Arian scheme. By Abraham Taylor.']","[1730.0, 1727.0]","['London : printed for J. Roberts,', 'London : printed for John Clark and Richard Hett,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",,,,left_only
Access Committee for England,['Access Committee for England.'],['Promoting better access : a guide to the work of local authority access officers /'],[1987.0],"['London : Centre on Environment for the Handicapped,']",['eng'],[nan],[nan],,,,left_only
Ada Streeter,"['Streeter, Ada.']",['Sandro Botticelli. [A brief critical biography. With a portrait.]'],[1900.0],"['London, ']",['eng'],[nan],"[""A different work from that by the same author entitled 'Botticelli'.""]",,,,left_only
Adam Ardrey,"['Ardrey, Adam.']",['Finding Merlin : the truth behind the legend of the great Arthurian mage /'],[2008.0],"['Woodstock, NY : Overlook Press,']",['eng'],['Merlin (Legendary character)'],"['The Legend -- Morken\'s Children -- The Angels -- Signs and Portents -- The old Way of the Druids -- Merlin and Languoreth -- The Magi and the Bards -- Angle Land -- The Hill of Death -- The Murder of Telleyr -- Morken the Chief -- Cathen the Druid -- Uther Pendragon, Son of the Sky God -- The Battle of Arderydd -- The Wilderness Years -- Battle Rejoined -- The Ring -- The Army of Stags -- Rome -- Twilight of the Druids -- The Harrowing of Galloway -- Madman -- Ardery Street -- Stonehenge -- ""Rhydderch is Dying"" -- The Dark Heart -- Dumpelder -- The Grave -- Mordred\'s Queen -- Le Morte de Merlin -- Timeline.']",,,,left_only
Adam Parkes,"['Parkes, Adam,1966-', 'Parkes, Adam,1966-']","['A sense of shock : the impact of Impressionism on modern British and Irish writing /', ""Kazuo Ishiguro's The remains of the day : a reader' guide /""]","[2011.0, 2001.0]","['Oxford : Oxford University Press,', 'New York ; London : Continuum,']","['eng', 'eng']","['Modernism (Literature)', 'Household employees in literature.']","['""A sense of justice"": Ruskin, Whistler, and James -- ""A chain of secret influences"": Pater\'s disciples -- ""Fugitive imaginings"": art, nationhood, and George Moore\'s racial instincts -- ""Shocks and surprises"": Conrad, terrorism and languages of sensation -- ""Violent moments of being"": Woolf, Pater, and Fry -- ""The typical man of this period"": Ford\'s depression -- Epilogue: Bowen\'s demolished moment.', 'Includes bibliographical references (p. [91]-93).']",,,,left_only
Adam Tamas Tuboly,"['Tuboly, Adam Tamas.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Neurath Reconsidered [electronic resource] : New Sources and Perspectives /'],[nan],[nan],['eng'],['Analytic Philosophy.'],"[""This highly readable book is a collection of critical papers on Otto Neurath (1882-1945). It comprehensively re-examines Neurath’s scientific, philosophical and educational contributions from a range of standpoints including historical, sociological and problem-oriented perspectives. Leading Neurath scholars disentangle and connect Neurath’s works, ideas and ideals and evaluate them both in their original socio-historical context and in contemporary philosophical debates. Readers will discover a new critical understanding. Drawing on archive materials, essays discuss not only Neurath’s better-known works from lesser-known perspectives, but also his lesser-known works from the better-known perspective of their place in his overall philosophical oeuvre. Reflecting the full range of Neurath's work, this volume has a broad appeal. Besides scholars and researchers interested in Neurath, Carnap, the Vienna Circle, work on logical empiricism and the history and philosophy of science, this book will also appeal to graduate students in philosophy, sociology, history and education. Readers will find Neurath’s thoughts described and evaluated in an accessible manner, making it a good read for those beyond the academic world such as social leaders and activists. The book includes the edited 1940-45 Neurath-Carnap correspondence and the English translation of Neurath's logic papers.""]",,,,left_only
Aditi Bhatt,"['Bhatt, Aditi.editor.edthttp://id.loc.gov/vocabulary/relators/edt']","['Management of Peritoneal Metastases- Cytoreductive Surgery, HIPEC and Beyond [electronic resource] /']",[nan],[nan],['eng'],['Abdominal Surgery.'],"['The widespread acceptance among the\xa0oncology community at large of cytoreductive\xa0surgery and HIPEC as a potentially\xa0curative treatment for peritoneal metastases\xa0has paved the way for innovative new therapies\xa0that could benefit a larger proportion of\xa0patients. Much has been and continues to be\xa0published on this subject. This book provides comprehensive reviews\xa0on the various aspects of managing peritoneal\xa0metastases. The authors highlight essential\xa0practical issues that surgical oncologists\xa0encounter in their day-to-day practice, and\xa0try to before provide evidence based answers\xa0to address them. All chapters were written\xa0and/or reviewed by leading experts in this\xa0field.']",,,,left_only
Adrian Heard,"['Heard, Adrian.']",['Rose in the mouth: a novel of the French revolution.'],[1927.0],"['London & Melbourne, ']",['eng'],[nan],[nan],,,,left_only
A Davies,"['Davies, A.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Spain on Screen [electronic resource] : Developments in Contemporary Spanish Cinema /'],[nan],[nan],['eng'],['Film History.'],"['A collection of original essays from leading scholars in the field exploring\xa0the contemporary debates, concerns and controversies ongoing in Spanish film industry, culture and scholarship. The essays reveal the far-reaching shifts that have occurred in the Spanish film scene, making essential reading for all interested in European cinema.']",,,,left_only
A Nou,"['Nou, A.editor.edthttp://id.loc.gov/vocabulary/relators/edt']","['Secularism on the Edge [electronic resource] : Rethinking Church-State Relations in the United States, France, and Israel /']",[nan],[nan],['eng'],['Political Science.'],"['In this dynamic and wide-ranging collection of essays, prominent scholars examine the condition of church-state relations in the United States, France, and Israel. Their analyses are rooted in a wide variety of disciplines, ranging from ethnography and demography to political science, gender studies, theology, and the law.']",,,,left_only
Age Concern Scotland,['Age Concern Scotland (Organization)'],['Waiting for a move : elderly people and the allocation and transfer policies of Scottish Local Authorities /'],[1988.0],['Age Concern Scotland'],['eng'],['Older people'],[nan],,,,left_only
Ahmad Rasmi Qabaha,"['Qabaha, Ahmad Rasmi.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Exile and Expatriation in Modern American and Palestinian Writing [electronic resource] /'],[nan],[nan],['eng'],['North American Literature.'],"[""This book examines the distinction between literary expatriation and exile through a 'contrapuntal reading' of modern Palestinian and American writing. It argues that exile, in the Palestinian case especially, is a political catastrophe; it is banishment by a colonial power. It suggests that, unlike expatriation (a choice of a foreign land over one’s own), exile is a political rather than an artistic concept and is forced rather than voluntary — while exile can be emancipatory, it is always an unwelcome loss. In addition to its historical dimension, exile also entails a different perception of return to expatriation. This book frames expatriates as quintessentially American, particularly intellectuals and artists seeking a space of creativity and social dissidence in the experience of living away from home. At the heart of both literary discourses, however, is a preoccupation with home, belonging, identity, language, mobility and homecoming.""]",,,,left_only
Airi-Alina Allaste,"['Allaste, Airi-Alina.author.authttp://id.loc.gov/vocabulary/relators/aut']","['Mobility, Education and Employability in the European Union [electronic resource] : Inside Erasmus /']",[nan],[nan],['eng'],['Human Geography.'],"['This book takes an in-depth look at the European Commission’s Erasmus programme. In its current Erasmus+ format, the programme supports international exchange visits among students, trainees, volunteers and academic members of staff with a view to enhancing employability and encouraging intercultural understanding. Against the backdrop of the 30th anniversary of Erasmus, the authors explore the successes of the programme, most prominently the undergraduate exchange programme, as well as areas of on-going development, including the incorporation of short duration mobility projects focused on specific social issues into the initiative. Through integrating perspectives from authors in a number of European countries, all of whom have knowledge regarding various aspects of Erasmus, the book provides insight into the challenges facing the programme as it moves into its fourth decade. Mobility, Education and Employability in the European Union: Inside Erasmus will be of interest to students and scholars from a range of disciplines, including geography, sociology and European politics.']",,,,left_only
Ajay K. Singh,"['Singh, Ajay K.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Core Concepts in Renal Transplantation [electronic resource] /'],[nan],[nan],['eng'],['Internal Medicine.'],"['Though kidney transplantation is considered a routine procedure, there are still significant challenges in post-transplant management. Core Concepts in Renal Transplantation is a clinically focused authoritative guide to the management of kidney transplantation. \xa0This comprehensive, state-of-the-art reference summarizes the recent changes in the field of transplantation, offering the complete range of up-to-date information on all the various aspects of basic immunobiology and the medical care of the transplant recipient. \xa0Written by a team of renowned authorities in renal transplantation, this concise resource is intended for both the nephrologist and the non-specialist with an interest in kidney transplantation.']",,,,left_only
Akhlaq A. Farooqui,"['Farooqui, Akhlaq A.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Beneficial Effects of Fish Oil on Human Brain [electronic resource] /'],[nan],[nan],['eng'],['Neurology.'],"['It is becoming increasingly evident that the deficiency of n-3 fatty acids in diet is not only associated with cardiovascular diseases, but also involved in stroke, epilepsy and other neurological and neurodegenerative diseases, such as Alzheimer disease, Parkinson disease, and peroxisomal diseases. In his newest book, Beneficial Effects of Fish Oil on Human Brain, Dr. Akhlaq A. Farooqui expands on the status and therapeutic importance of n-3 fatty acids (major components of fish oil) and their mediators in normal brain and those with neurodegenerative and neuropsychiatric diseases. Farooqui presents the benefits of n-3 fatty acids on Western diet, which is enriched in n-6 fatty acids (major components of vegetable oil) and may promote the above neurological disorders. The book will present readers with cutting edge and comprehensive information on metabolism and roles of neural membrane n-3 fatty acids. Neuroscientists, clinicians, neurologists, neuropathologists, opthamologists, dietitians, and nutritionists will find this book useful for understanding the molecular basis of n-3 fatty acids and their lipid mediators (resolvins and neuroprotectins) in neuroprotection in acute neural trauma (stroke, spinal cord trauma and head injury) and neurodegenerative diseases. About the Author: Dr. Akhlaq A. Farooqui is a leader in the field of brain phospholipases A2, bioactive ether lipid metabolism, polyunsaturated fatty acid metabolism, glycerophospholipid-, sphingolipid-, and cholesterol-derived lipid mediators, and glutamate-induced neurotoxicity. He has discovered the stimulation of plasmalogen-selective phospholipase A2 (PlsEtn-PLA2) and diacyl- and monoacylglycerol lipases in brains from patients with Alzheimer disease. Stimulation of PlsEtn-PLA2 produces plasmalogen deficiency and increases levels of eicosanoids that may be related to the loss of synapses in brains of patients with Alzheimer disease. Dr. Farooqui has published cutting edge research on the generation and identification of glycerophospholipid-, sphingolipid-, and cholesterol-derived lipid mediators in kainic acid neurotoxicity by lipidomics. He has previously authored four monographs: Glycerophospholipids in Brain: Phospholipase A2 in Neurological Disorders (2007); Neurochemical Aspects of Excitotoxicity (2008); Metabolism and Functions of Bioactive Ether Lipids in Brain (2008); and Hot Topics in Neural Membrane Lipidology (2009). All monographs are published by Springer.']",,,,left_only
Alan Boucher,"['Boucher, Alan.']",['Poems of today from twenty-five modern Icelandic poets /'],[1974.0],"['Reykjavik :  Iceland Review, ']",['eng'],['English poetry'],[nan],,,,left_only
Alan D. Filewod,"['Filewod, Alan D.(Alan Douglas),1952-']",['Theatre histories /'],[2009.0],"['Toronto : Playwrights Canada Press,']",['eng'],['Theater'],['Includes bibliographical references.'],,,,left_only
Alan Davies,"['Davies, Alan,1931 February 17-']","['Simple steps pack : a simple guide to speaking, spelling, writing and reading /']",[1990.0],"['Chester : Writetrack,']",['eng'],['Expression'],"['Set includes 12 single sheets, 3 pamphlets and 1 90-minute audio tape.']",,,,left_only
Alan Deutschman,"['Deutschman, Alan,1965-']",['Walk the walk : the #1 rule for real leaders /'],[2009.0],"['New York, N.Y. : Portfolio,']",['eng'],['Leadership.'],"['According to Deutschman, leadership really has only two elements: what one says and what one does. He also argues that most leader focus too much on words and not enough on setting an example. Here, the author profiles a wide range of leaders who always walked the walk.']",,,,left_only
Alan Gibbons,"['Gibbons, Alan,1953-', 'Gibbons, Alan,1953-author.', 'Gibbons, Alan,1953-']","['Teach me to write -- non-fiction : a guide for teachers /', 'The darkness of dragons /', 'Injury time /']","[2005.0, nan, 2004.0]","['Oxford : Nash Pollock Publishing,', nan, ""London : Orion Children's Books,""]","['eng', 'eng', 'eng']","['Creative writing', nan, 'Young adult fiction, English.']","[nan, nan, nan]",,,,left_only
Alan Young,"['Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-']","['Notes made on the way to somewhere /', 'Change /', 'Midnight light /', 'Notes along the way.', 'Notes along the way 32 /', 'Just words /']","[nan, 2007.0, 2006.0, nan, nan, 2012.0]","[nan, 'Aberdeen : Elizabeth Simon,', 'Aberdeen : Alexander Stuart Publications,', nan, nan, 'Aberdeen : Elizabeth Simon Press,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan]","['Title from cover.', 'Title from cover.', nan, 'Title from cover.', 'Library copy has a letter from the author dated 11 August 2020 loosely inserted.', nan]",,,,left_only
Alan Shipman,"['Shipman, Alan.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Wynne Godley [electronic resource] : A Biography /'],[nan],[nan],['eng'],['Economic Policy.'],"[""This timely biography of the economist Wynne Godley (1926-2010) charts his long and often crisis-blown route to a new way of understanding whole economies. It shows how early frustrations as a policy-maker enabled him to glimpse the cliff-edges other macro-modellers missed, and re-arm ‘Keynesian’ theory against the orthodoxy that had tried to absorb it. Godley gained notoriety for his economic commentaries - foreseeing the malaise of the 1970s, the Reagan-Thatcher slump, the unsustainable 1980s and 1990s booms, and the crises in the Eurozone and world economies after 2008. This foresight arose from a series of advances in his understanding of national accounting, price-setting, the role of modern finance, and the use of economic data, especially to grasp the interlinkage of stocks and flows. This biography also gives due attention to Godley's life outside academic economics – including his chaotic childhood, truncated career as a professional oboist, equally brief stints as a sculptor’s model and economist in industry, and a longer spell as as a Treasury adviser with a mystery gift for forecasting. This first full-length biography traces Wynne Godley’s long career from professional musician to public servant, policymaker, tormentor of conventional macroeconomics and creator of a workable alternative – all after escaping a childhood of decaying mansions and draconian schools, and rescuing his private world from the legacy of two Freuds. Drawing on Godley’s published and unpublished work and extensive interviews with those who knew him, the author explores Godley's improbable life and explains the lasting significance of his work.""]",,,,left_only
Albert Bigelow Paine,"['Paine, Albert Bigelow,1861-1937.']","['Mark Twain. A biography. The personal and literary life of Samuel Langhorne Clemens. With letters, comments and incidental writings hitherto unpublished; also new episodes, anecdotes, etc. [With plates, including portraits, and facsimiles.]']",[1912.0],"['New York & London,']",['eng'],[nan],['Pagination continuous.'],,,,left_only
Albert Bushnell Hart,"['Hart, Albert Bushnell,1854-1943.']",['Liberty documents. With contempory exposition and critical comments drawn from various writers /'],[1901.0],"['New York,']",['eng'],[nan],[nan],,,,left_only
Albert E. Mason,"['Mason, Albert E.', 'Mason, Albert E.']","[""Accepted ceremonies of craft freemasonry, as taught in all the master masons' lodges of the ancient, free and accepted masons of England; together with the installation of the W.M. and addresses to the officers. Only copyright perfected manual acknowledged by the craft."", 'The accepted ceremonies of the three degrees in craft freemasonry, as taught in all the constituted lodges, and sanctioned by the authority of eminent past masters of the antient, free and accepted masons of England ...']","[1874.0, 1880.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",,,,left_only
Albert Ple,"['Plé, Albert.']","['Religious sisters. Being the English version of ""Directoire des Supérieures"" and ""Les Adaptations de la Vie Religieuse. (Papers read at the Journées d\'Etudes arranged by the editor of La View Spirituelle for the benefit of the French religious sisters) /']",[1952.0],"['London, ']",['eng'],[nan],"['Part of the series ""Religious life"".']",,,,left_only
Albert Stratford George Canning,"['Canning, Albert Stratford George,1832-1916.', 'Canning, Albert Stratford George,1832-1916.']","['British power and thought. A historical inquiry.', 'British writers on classic lands. A literary sketch.']","[1901.0, 1907.0]","['London,', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",,,,left_only
Albert Van Helden,"['Van Helden, Albert.']",['The origins of the telescope /'],[2010.0],"['Amsterdam : KNAW Press,']",['eng'],['Telescopes'],"['""The origins of the telescope have been debated since the instrument\'s appearance in the Hague in 1608. Civic and national pride has led local dignitaries, popular writers, and scholars to present sharply divergent histories over the years, crediting a variety of people and places with the invention. Drawing on newly discovered documents, re-examined records, and tests of early lenses and telescopes, this fascinating study proposes a new and convincing account of the origins of the instrument that changed mankind\'s vision of the universe.""--Publisher\'s description.']",,,,left_only
Albert Wendt,"['Wendt, Albert,1939-']",['Nuanua : Pacific writing in English since 1980 /'],[1995.0],"['Auckland : Auckland University Press,']",['eng'],['Pacific Island literature (English)'],[nan],,,,left_only
Alec Finlay,"['Finlay, Alec.']","['Shared writing : renga days : an anthology of nijuuin and hyakuin renga and renga days on the renga platform, 2002-2004 /']",[2005.0],"['Edinburgh : Platform Projects,']",['eng'],[nan],['Includes bibliographical references and index.'],,,,left_only
Alen Toplišek,"['Toplišek, Alen.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Liberal Democracy in Crisis [electronic resource] : Rethinking Resistance under Neoliberal Governmentality /'],[nan],[nan],['eng'],['Governance and Government.'],"['This book rethinks resistance against neoliberalism in the context of the crisis of Western liberal democracy and the rise of new radical left parties in Europe. Drawing upon a wide range of methodological approaches in contemporary political and social theory, it explores how the aftermath of the 2008 financial crisis represents the opening of possibilities for resistance and examines the structural hurdles facing radical politics in effectively challenging neoliberalism. The author challenges the dominant conceptions of democratic politics by critically interrogating the role of liberalism in the depoliticisation of governing and the neoliberal restructuring of the democratic role of the state. The trajectory of new radical left parties in Slovenia, Greece and Spain is used to demonstrate the need to overcome the binary divide between institutional politics and resistance in radical political theory and practice.']",,,,left_only
Alex M. Bisset,"['Bisset, Alex M.']","['Henry Shanks, poet : a critical estimate /']",[1900.0],"['[Bathgate? : s.n.,']",['eng'],"['Poets, Scottish']",['Title from cover.'],,,,left_only
Alexander Barrie,"['Barrie, Alexander,teacher of English in Edinburgh.']","['A collection of English prose and verse for the use of schools : selected from different authors to which are prefixed a few short lessons for beginners, with an exercise in spelling, ... also, an appendix containing the principles of English grammar /']",[1810.0],"['Edinburgh : Printed by Murray and Cochrane,']",['eng'],['English language'],[nan],,,,left_only
Alexander Geddes,"['Geddes, Alexander,1737-1802.']",['Critical remarks on the Hebrew scriptures: : corresponding with a new translation of the Bible. /'],[1800.0],"['London: : Printed for the author by Davis, Wilks, and Taylor:  and sold by R. Faulder ... and J. Johnson ... ,']",['eng'],['Bible.'],['ESTC'],,,,left_only
Alexander Goldie,"['Goldie, Alexander,-1782.', 'Goldie, Alexander,-1782.']","['Unto the Rt Hon. the Lords of Council and Session. The petition of Alexander Goldie, writer to the Signet, ...', 'Unto the Right Honourable the Lords of Council and Session. The petition and complaint of Alexander Goldie of Southwick, writer to the Signet. ...']","[1766.0, 1761.0]","['[Newcastle upon Tyne,', '[Edinburgh,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",,,,left_only
Alexander Smart,"['Smart, Alexander, Writer of Verse.']",['Rambling rhymes.'],[1834.0],"['Edinburgh :  A. & C. Black, ']",['eng'],[nan],[nan],,,,left_only
