author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency
Aleksandr Aleksandrovich Blok,"['Blok, Aleksandr Aleksandrovich,1880-1921.', 'Blok, Aleksandr Aleksandrovich,1880-1921.Snezhnai︠a︡ maska.']", '[\'Aleksandr Blok o simvolizme = Alexander Blok on symbolism\', "A. Blok\'s The snow mask An interpretation"]', "[1974.0, 1970.0]","['Letchworth Prideaux Press', 'Stockholm universitetet, Almqvist & Wiksell']","['rus', 'eng']","['Symbolism in literature.', 'Blok, Aleksandr Aleksandrovich, 1880-1921.']","["Originally published: as 'O sovremennom sostianii russkogo simvolizma'. St Petersburg : Alkonost, 1921", 'Includes bibliographical references']",1970.0,1974.0,2
Aleksandr Isaevich Solzhenitsyn,"['Solzhenit︠s︡yn, Aleksandr Isaevich,1918-2008.']", "['Apricot jam and other stories /']", [2011.0],"['Edinburgh : Canongate,']",['eng'],"['Solzhenit︠s︡yn, Aleksandr Isaevich, 1918-2008']",[nan],2011.0,2011.0,1
Aleksandr Sergeevich Pushkin,"['Pushkin, Aleksandr Sergeevich,1799-1837.', 'Pushkin, Aleksandr Sergeevich,1799-1837.', 'Pushkin, Aleksandr Sergeevich,1799-1837.Evegniĭ Oniegin.1965']", '[\'Pesnʹ o Veshchem Olege /\', \'Sobranie sochineniĭ /\', "Notes on prosody from the commentary to his translation of Pushkin\'s Eugene Onegin."]', "[1958.0, 1968.0, 1965.0]","['Moskva,', 'Moskva :  Khudozhestvennai︠a︡ literatura, ', 'London, ']","['rus', 'rus', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1958.0,1968.0,3
Alex Comfort,"['Comfort, Alex,1920-2000.']", "['The joy of sex : a gourmet guide to lovemaking /']", [1986.0],"['London : M. Beazley,']",['eng'],[nan],[nan],1986.0,1986.0,1
Alex Garland,"['Garland, Alex,1970-']", "['The beach /']", [2007.0],"['London : Penguin,']",['eng'],['Beaches'],"['Originally published: London: Viking, 1996.']",2007.0,2007.0,1
Alexander Cunningham,"['Cunningham, Alexander,1655?-1730.']", "['Alexandri Cuningamii animadversiones, in Richardi Bentleii notas et emendationes ad Q. Horatium Flaccum.']", [1721.0],"['Hagae Comitum : apud Thomam Jonsonium,']",['lat'],[nan],['ESTC'],1721.0,1721.0,1
Alexander Melville Bell,"['Bell, Alexander Melville,1819-1905.']", "['Letters and sounds: an introduction to English reading, on an entirely new plan.']", [1855.0],"['London, ']",['eng'],[nan],[nan],1855.0,1855.0,1
Alfred Hitchcock,"['Hitchcock, Alfred,1899-1980.', 'Hitchcock, Alfred,1899-1980.', 'Hitchcock, Alfred,1899-1980.', 'Hitchcock, Alfred,1899-1980.']", '["Alfred Hitchcock\'s solve-them-yourself mysteries", \'Alfred Hitchcock presents a month of mystery\', "Alfred Hitchcock\'s Tales of suspense.", \'Guaranteed rest in peace and other macabre tales.\']', "[1968.0, 1973.0, 1987.0, 1966.0]","['London : New English Library', 'London Pan Books,', 'London : Octopus,', 'London,']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","['Originally published Random House 1963 (B65-18869) Reinhardt 1965', 'Originally published in one vol., New York: Random House, 1969; London: Reinhardt, 1970', nan, nan]",1966.0,1987.0,4
Alison Lurie,"['Lurie, Alison.', 'Lurie, Alison.', 'Lurie, Alison.']", "['Imaginary friends /', 'Love and friendship', 'The language of clothes']", "[1967.0, 1986.0, 1983.0]","['London : Heinemann,', 'Sphere', 'Feltham Hamlyn']","['eng', 'und', 'eng']","[nan, nan, 'Clothing and dress']","[nan, nan, 'Bibliography: p262-266']",1967.0,1986.0,3
Alison Uttley,"['Uttley, Alison,author.', 'Uttley, Alison,1884-1976.', 'Uttley, Alison,1884-1976.']", '[\'nan\', "Little Grey Rabbit\'s paint-box /", \'The country child /\']', "[1958.0, 1993.0]","[nan, 'London,', 'Oxford : ISIS Large Print,']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, 'First published in Great Britain: [London] : Faber & Faber, 1936.']",1958.0,1993.0,2
Alistair Horne,"['Horne, Alistair.', 'Horne, Alistair,1925-', 'Horne, Alistair.']", "['The land is bright. A portrait of America.', 'Macmillan : 1957-1986.', 'The price of glory. Verdun 1916. [With plates, including portraits, maps and a bibliography.]']", "[1958.0, 1989.0, 1962.0]","['London, ', 'London : Macmillan London,', 'London, ']","['eng', 'eng', 'eng']","[nan, 'Prime ministers', nan]","[nan, nan, nan]",1958.0,1989.0,3
Ama Ata Aidoo,"['Aidoo, Ama Ata,1942-']", "['Ama Ata Aidoo the dilemma of a ghost']", [1980.0],['Harlow Longman'],['eng'],"['Aidoo, Ama Ata 1942-']",[nan],1980.0,1980.0,1
Ambrose Bierce,"['Bierce, Ambrose,1842-1914?']", "['Civil War stories /']", [1994.0],"['New York : Dover ; London : Constable,']",['eng'],"['War stories, American.']","['"A new selection of sixteen stories from The collected works of Ambrose Bierce, volume I and II, first published in 1909 by the Neale Publishing Company, New York"--T.p. verso.']",1994.0,1994.0,1
Amelia Reynolds Long,"['Long, Amelia Reynolds.']", "['Symphony in murder.']", [1953.0],"['London, ']",['eng'],[nan],[nan],1953.0,1953.0,1
Andre Dubus,"['Dubus, Andre,1936-']", "['Selected stories /']", [1990.0],"['London : Picador,']",['eng'],[nan],[nan],1990.0,1990.0,1
Andrea Camilleri,"['Camilleri, Andrea,1925-']", "['La mossa del cavallo /']", [2011.0],"['Milano : BUR Rizzoli,']",['ita'],[nan],['First publ. 1999 by Rizzoli.'],2011.0,2011.0,1
Andrew Lang,"['Lang, Andrew,1844-1912,author.', 'Lang, Andrew,1844-1912.', 'Lang, Andrew,1844-1912.', 'Lang, Andrew,1844-1912.', 'Lang, Andrew,1844-1912.']", "['nan', 'The world of Homer.', 'Letters to dead authors', 'The most pleasant and delectable tale of the marriage of Cupid and Psyche /', 'Custom and myth.']", "[1910.0, 1891.0, 1887.0, 1904.0]","[nan, 'London, New York, ', "New York C. Scribner's Sons", 'London,', 'London, ']","['eng', 'eng', 'eng', 'eng', 'eng']","['History.', nan, 'Literature.', nan, nan]","['"These essays, which appeared, with two exceptions, in the Cornhill magazine, 1904, have been revised, and some alterations, corrections, and additions have been made in them."-Preface.', nan, nan, nan, nan]",1887.0,1910.0,4
Angela Lansbury,"['Lansbury, Angela.']", "['The wedding planner']", [1990.0],['London Ward Lock'],['eng'],['Weddings.'],['Includes index'],1990.0,1990.0,1
Anita Loos,"['Loos, Anita,1893-1981.']", "['No mother to guide her. [With illustrations.]']", [1961.0],"['London,']",['eng'],[nan],[nan],1961.0,1961.0,1
Anna Farquhar,"['Farquhar, Anna.']", '["The devil\'s plough: the romantic history of a soul conflict."]', [1901.0],"['London,']",['eng'],[nan],[nan],1901.0,1901.0,1
Anna Kavan,"['Kavan, Anna,1904-1968.']", "['A stranger still.']", [1935.0],"['London, ']",['eng'],[nan],[nan],1935.0,1935.0,1
Anne Carson,"['Carson, Anne,1950-']", "['Nay rather /']", [2013.0],"['Paris : Center for Writers & Translators, American University of Paris ; London : Sylph Editions,']",['eng'],['Context (Linguistics)'],[nan],2013.0,2013.0,1
Anne Tyler,"['Tyler, Anne.', 'Tyler, Anne,1941-']", "['A slipping-down life', 'A patchwork planet /']", "[1983.0, 1998.0]","['London Severn House', 'London : Vintage,']","['eng', 'eng']","[nan, nan]","[nan, 'Originally published: New York : Alfred A. Knopf, 1998.']",1983.0,1998.0,2
Anthony Burgess,"['Burgess, Anthony,1917-1993.', 'Burgess, Anthony,1917-1993.']", "['Any old iron /', 'Man of Nazareth']", "[1989.0, 1979.0]","['London : Arrow,', 'London Magnum']","['eng', 'eng']","[nan, nan]","[nan, 'Originally published: New York : McGraw-Hill, 1979']",1979.0,1989.0,2
Antonio Gala,"['Gala, Antonio.']", "['Obras escogidas /']", [1981.0],[nan],['   '],[nan],[nan],1981.0,1981.0,1
Antony Jay,"['Jay, Antony,1930-']", "['Management and Machiavelli']", [1987.0],['London Hutchinson Business'],['eng'],['Management.'],['Includes index'],1987.0,1987.0,1
Archibald Clavering Gunter,"['Gunter, Archibald Clavering,1847-1907.', 'Gunter, Archibald Clavering,1847-1907.', 'Gunter, Archibald Clavering,1847-1907.']", "['The city of mystery.', 'A princess of Paris. A novel.', 'Baron Montez of Panama and Paris. A novel.']", "[1890.0, 1894.0, 1893.0]","['London, Melbourne and Toronto,', 'London,', 'London,']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1890.0,1894.0,3
Arno Scholz,"['Scholz, Arno.']", "['Outpost Berlin. [Photographs, with accompanying letterpress and an introductory essay /']", [1955.0],"['London, ']",['eng'],[nan],[nan],1955.0,1955.0,1
Arthur Blair,"['Blair, Arthur.']", "['Stamp collecting']", [1978.0],['Sevenoaks Teach Yourself Books'],['eng'],['Stamp collecting.'],['Includes bibliographies and index'],1978.0,1978.0,1
Arthur Conan Doyle,"['Doyle, Arthur Conan,1859-1930.', 'Doyle, Arthur Conan,1859-1930.', 'Doyle, Arthur Conan,1859-1930.', 'Doyle, Arthur Conan,1859-1930.']", "['The doings of Raffles Haw /', 'The mysterious adventures of Sherlock Holmes /', 'The lost world : being an account of the recent amazing adventures of Professor George E. Challenger, Lord John Roxton, Professor Summerlee, and Mr E.D. Malone of the Daily Gazette /', 'The firm of Girdlestone : a romance of the unromantic /']", "[1910.0, 2004.0, 1998.0, 1892.0]","['London : Cassell,', 'London : Puffin,', 'Oxford : Oxford University Press,', 'London : Chatto & Windus,']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","[nan, 'This selection first published: 1995.', nan, nan]",1892.0,2004.0,4
Arthur Miller,"['Miller, Arthur,1915-2005.']", "['Death of a salesman : certain private conversations in two acts and a requiem /']", [1999.0],"['New York : Penguin Books,']",['eng'],['Fathers and sons'],['BNA'],1999.0,1999.0,1
Ashley Hay,"['Hay, Ashley.']", "['Herbarium /']", [2004.0],"['Cambridge : Cambridge University Press,']",['eng'],['Botanical specimens'],['Includes bibliographical references (p. 151-152) and index.'],2004.0,2004.0,1
Athol Fugard,"['Fugard, Athol.']", "['Boesman and Lena a play in two acts']", [1973.0],['London Oxford University Press'],['eng'],['English drama.'],"['Originally published, Cape Town: Balkema, 1966']",1973.0,1973.0,1
August Strindberg,"['Strindberg, August,1849-1912.Dödsdansen.']", '["Dance of death : a version of August Strindberg\'s Dance of death /"]', [2000.0],"['Belfast : Lagan Press,']",['eng'],[nan],[nan],2000.0,2000.0,1
Barbara Hambly,"['Hambly, Barbara.', 'Hambly, Barbara.', 'Hambly, Barbara.']", "['The silent tower', 'Dragonshadow /', 'Children of the Jedi /']", "[1987.0, 1999.0, 1995.0]","['London Unwin', 'London : HarperCollins,', 'London : Bantam,']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, '"Voyager."', nan]",1987.0,1999.0,3
Barbara W. Tuchman,"['Tuchman, Barbara W.(Barbara Wertheim),1912-1989.']", "['The march of folly : from Troy to Vietnam /']", [1990.0],"['London : Abacus,']",['eng'],['World history.'],['Includes bibliographical references and index'],1990.0,1990.0,1
Barry Humphries,"['Humphries, Barry.']", '["Barry Humphries\' treasury of Australian kitsch"]', [1980.0],['London Macmillan'],['eng'],['Kitsch'],[nan],1980.0,1980.0,1
Basanta Kumar Mallik,"['Mallik, Basanta Kumar.']", "['The individual and the group. An Indian study in conflict.']", [1939.0],"['London,']",['eng'],[nan],[nan],1939.0,1939.0,1
Ben Bova,"['Bova, Ben,1932-', 'Bova, Ben,1932-']", "['The starcrossed /', 'The winds of Altair']", "[1990.0, 1983.0]","['London : Mandarin,', 'London Methuen']","['eng', 'eng']","[nan, nan]","[nan, 'Originally published: New York : Doherty, 1983']",1983.0,1990.0,2
Ben Jonson,"['Jonson, Ben,1573?-1637.', 'Jonson, Ben,1573?-1637.', 'Jonson, Ben,1573?-1637.', 'Jonson, Ben,1573?-1637.']", '[\'Selected poetry /\', "Ben Jonson\'s the alchemist /", "Epicoene; or, the silent woman. A comedy. As it is acted at the Theatre-Royal, by Her Majesty\'s servants. Written by Benj. Johnson.", "Ben Johnson\'s jests: or the wit\'s pocket companion. Being a new collection of the most ingenious jests, ... To which is added, a choice collection of the newest conundrums, best riddles, entertaining rebusses, satirical epigrams, humourous epitaphs, facetious dialogues, merry tales, jovial songs, fables, &c. &c. &c."]', "[1992.0, 1950.0, 1709.0, 1790.0]","['London : Penguin,', 'Louvain, ', 'London : printed for J. Tonson; and sold by Joseph Archer,', 'Dublin : printed by P. Wogan,']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","[nan, nan, 'ESTC', 'ESTC']",1709.0,1992.0,4
Ben Schwartz,"['Schwartz, Ben.']", '["Grandma\'s dead : breaking bad news with baby animals /"]', [2008.0],"['London : Boxtree,']",['eng'],['Animals'],[nan],2008.0,2008.0,1
Ben Travers,"['Travers, Ben,1886-1980']", "['Rookery Nook']", [1977.0],['London W.H. Allen'],['eng'],['English fiction.'],"['Originally published: London : J. Lane, 1923']",1977.0,1977.0,1
Benny Goodman,"['Goodman, Benny,1909-1986.']", '["Benny Goodman : wrappin\' it up /"]', [1996.0],"['Lanham, Md. : Scarecrow Press,']",['eng'],['Jazz musicians'],['Includes bibliographical references and indexes'],1996.0,1996.0,1
Bernard Levin,"['Levin, Bernard,1928-']", "['A world elsewhere /']", [1994.0],"['London : Cape,']",['eng'],['Utopias in literature.'],['Includes index'],1994.0,1994.0,1
Bernard Shaw,"['Shaw, Bernard,1856-1950.', 'Shaw, Bernard,1856-1950.How he lied to her husband.', 'Shaw, Bernard,1856-1950.', 'Shaw, Bernard,1856-1950.', 'Shaw, Bernard,1856-1950.', 'Shaw, Bernard,1856-1950.', 'Shaw, Bernard,1856-1950,writer of preface.']", '["Everybody\'s political what\'s what? /", \'Candida &, How he lied to her husband facsimiles of the holograph manuscripts /\', \'The complete plays of Bernard Shaw.\', \'Is free trade alive or dead? : a lecture ; at the Glasgow Fabian Society at the City Hall, Glasgow, Oct. 2nd, 1903 /\', \'Buoyant billions /\', \'The common sense of municipal trading.\', \'nan\']', "[1945.0, 1981.0, 1931.0, 1906.0, 1949.0, 1908.0]","['London : Constable', 'New York London Garland', 'London,', 'London : Printed for private circulation by G. Standring,', '[London],', 'London, ', nan]","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['Political science.', 'Manuscripts, English', nan, 'Free trade.', nan, nan, 'Davies, W. H. (William Henry), 1871-1940.']","['Includes index.', 'Contents: Candida. Facsimile reprints of British Library Add. Mss. 50603, A-C - How he lied to her husband. Facsimile reprint of British Library Add. Ms. 50614', nan, nan, nan, nan, "Publisher's catalogue number JCP 15."]",1906.0,1981.0,6
Bertolt Brecht,"['Brecht, Bertolt,1898-1956.Arturo Ui.', 'Brecht, Bertolt,1898-1956.']", "['The resistible rise of Arturo Ui; a gangster spectacle.', 'Parables for the theater. Revised English versions by Eric Bentley. [With plates.]']", "[1972.0, 1965.0]","['New York ; London : S. French', 'Minneapolis,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1965.0,1972.0,2
Beverley Dunlop,"['Dunlop, Beverley,1935-']", "['Spirits of the lake /']", [1988.0],"['Auckland : Hodder and Stoughton,']",['eng'],[nan],[nan],1988.0,1988.0,1
Bharati Mukherjee,"['Mukherjee, Bharati.']", "['The middleman : and other stories /']", [1990.0],['London : Virago'],['eng'],[nan],[nan],1990.0,1990.0,1
Bill Cosby,"['Cosby, Bill,1937-']", "['Love & marriage /']", [1990.0],"['Bath : Chivers Press,']",['eng'],[nan],"['Originally published: New York, N.Y. : Doubleday, 1989.']",1990.0,1990.0,1
Bill Oddie,"['Oddie, Bill.']", '["Bill Oddie\'s Birds about town : a colouring guide /"]', [1992.0],"['London : Piccolo,']",['eng'],[nan],[nan],1992.0,1992.0,1
Bill Peet,"['Peet, Bill.']", '["Hubert\'s hair-raising adventure"]', [1959.0],['London Deutsch'],['eng'],[nan],[nan],1959.0,1959.0,1
Bob Dylan,"['Dylan, Bob,1941-.']", "['Lyrics, 1962-1985']", [1986.0],['London Paladin'],['eng'],[nan],['Includes index'],1986.0,1986.0,1
Bonnie Burton,"['Burton, Bonnie,1972-']", "['Girls against girls /']", [2011.0],"['London : A. & C. Black,']",['eng'],['Female friendship'],"['Originally published: San Francisco : Zest Books, 2009.']",2011.0,2011.0,1
Booker Taliaferro Washington,"['Washington, Booker Taliaferro.', 'Washington, Booker Taliaferro.']", "['Tuskegee & its people: their ideals and achievements /', 'Up from slavery. An autobiography. [With a portrait.]']", "[1905.0, 1911.0]","['New York,', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1905.0,1911.0,2
Brenda Thompson,"['Thompson, Brenda.']", "['Learning to teach']", [1973.0],['London Sidgwick and Jackson'],['eng'],['Elementary schools'],['Bibliographyp.207-208'],1973.0,1973.0,1
Brendan Clifford,"['Clifford, Brendan.', 'Clifford, Brendan.', 'Clifford, Brendan.']", "['An arguement on behalf of the Catholics of Ireland (1791) /', 'Scripture politics : selections from the writings of William Steel Dickson the most influential United Irishman of the North /', 'Government without opposition /']", "[1992.0, 1991.0, 1986.0]","['Belfast : Athol Books,', 'Belfast : Athol Books,', 'Belfast : Athol,']","['eng', 'eng', 'eng']","[nan, nan, nan]","['Cover title.', nan, 'Cover title.']",1986.0,1992.0,3
Brian Glanville,"['Glanville, Brian.', 'Glanville, Brian.']", "['After Rome, Africa. A novel of suspense.', 'Goalkeepers are different']", "[1959.0, 1971.0]","['London, ', 'London Hamilton']","['eng', 'eng']","[nan, "Children's stories."]","[nan, nan]",1959.0,1971.0,2
Brian Jones,"['Jones, Brian.']", '["The colonel\'s table : recipes & tales /"]', [1994.0],"["London : Brassey's,"]",['eng'],"['Cooking, British.']",[nan],1994.0,1994.0,1
Brian May,"['May, Brian.']", "['Interactive Japanese. an introductory course /']", [1996.0],"['Tokyo ; London : Kodansha International,']",['eng'],[nan],['Text in English or Japanese.'],1996.0,1996.0,1
Brian W. Aldiss,"['Aldiss, Brian W.(Brian Wilson),1925-2017.', 'Aldiss, Brian W.(Brian Wilson),1925-2017.', 'Aldiss, Brian W.(Brian Wilson),1925-2017.', 'Aldiss, Brian W.(Brian Wilson),1925-2017.', 'Aldiss, Brian W.(Brian Wilson),1925-2017.', 'Aldiss, Brian W.(Brian Wilson),1925-2017.']", '[\'Helliconia spring\', "A Plutonian monologue on his wife\'s death /", \'Greybeard.\', \'Life in the West\', \'The dark sun rises : some poems /\', \'Forgotten life\']', "[1982.0, 2000.0, 1964.0, 1981.0, 2003.0, 1988.0]","['London Cape', 'Folkestone : Frogmore,', 'London,', 'London Corgi', '[London?] : Avernus Media,', 'Gollancz']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Originally published: London : Weidenfeld & Nicolson, 1980', 'Limited ed. of 50 copies.', nan]",1964.0,2003.0,6
Brion Gysin,"['Gysin, Brion.']", "['Dreamachine plans /']", [1992.0],"['Brighton : Temple Press,']",['eng'],[nan],[nan],1992.0,1992.0,1
Bruce Dickinson,"['Dickinson, Bruce.']", "['The missionary position /']", [1992.0],"['London : Sidgwick & Jackson,']",['eng'],[nan],[nan],1992.0,1992.0,1
Budd Schulberg,"['Schulberg, Budd.', 'Schulberg, Budd, aauthor.']", "['On the waterfront /', 'nan']", [1992.0],"['London : Allison & Busby,', nan]","['eng', 'eng']","[nan, nan]","[nan, 'Originally published: New York : Random House, 1941.']",1992.0,1992.0,1
Carl Zuckmayer,"['Zuckmayer, Carl,1896-1977.']", "['Der Hauptmann von Köpenick: ein deutsches Märchen in drei Akten.']", [1955.0],"['Frankfurt am Main,']",['ger'],[nan],[nan],1955.0,1955.0,1
Carlo Goldoni,"['Goldoni, Carlo,1707-1793.', 'Goldoni, Carlo,1707-1793.']", '["La buona figliuola; a comic opera: as performed at the King\'s Theatre in the Hay-Market. Altered by Giovan Gualberto Bottarelli. The music by Signor Niccolo Piccini, ...", "La buona figliuola; a comic opera; as perform\'d at the King\'s-Theatre in the Hay-Market. Altered by Giovan Gualberto Bottarelli. The music by Signor Niccolo Piccini, ..."]', "[1777.0, 1766.0]","['London : printed by R. Rapley; for T. Cadell,', 'London : printed for W. Griffin,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1766.0,1777.0,2
